,App ID,VM,Host Environment,OS,# of CPUs,PeakCPU%,Memory,MemUsed,Disk (GB),Environment,Target Region,DB Instance Count,RDS,cores_calc,calc_family,mem_cpu_ratio,AWS_Region,AWS_OS,ec2_instance_type,one_hr_rate,one_yr_rate,three_yr_rate,AWS_DB,ebs_month_rate
0,5982,ADMINNET,Production,Microsoft Windows Server 2003 (32-bit),1,1,2,2,84.02,,,,False,2.0,c,1.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,12.687019999999999
1,6161,ADMINNET,Production,Microsoft Windows Server 2003 (32-bit),1,1,2,2,84.02,,,,False,2.0,c,1.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,12.687019999999999
2,9265,ausdet01dccp010,Production,Microsoft Windows Server 2008 R2 (64-bit),2,1,4,4,70.0,,,,False,3.0,c,1.3333333333333333,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,10.57
3,9265,ausdet01dccp020,Production,Microsoft Windows Server 2008 R2 (64-bit),2,1,4,4,70.0,,,,False,3.0,c,1.3333333333333333,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,10.57
4,6535,CLH001CTID01,Development,Microsoft Windows Server 2008 R2 (64-bit),2,1,4,4,172.0,,,,False,3.0,c,1.3333333333333333,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,25.971999999999998
5,5229,CLH001datd02,Development,SUSE Linux Enterprise 10 (32-bit),2,1,4,4,84.0,,,,False,3.0,c,1.3333333333333333,us-east-1,Linux,c5.xlarge,0.17,876.0,1629.0,,12.684
6,5495,CLH001OBLD01,Development,Microsoft Windows Server 2003 (32-bit),2,1,8,8,136.01,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,20.537509999999997
7,5855,CLH001PAIT01,Test,SUSE Linux Enterprise 10 (32-bit),1,1,2,2,159.0,,,,False,2.0,c,1.0,us-east-1,Linux,c5.large,0.085,438.0,815.0,,24.009
8,7161,CLH001PAIT01,Test,SUSE Linux Enterprise 10 (32-bit),1,1,2,2,159.0,,,,False,2.0,c,1.0,us-east-1,Linux,c5.large,0.085,438.0,815.0,,24.009
9,5896,CLH001PDMT01,Test,Microsoft Windows Server 2008 R2 (64-bit),2,1,16,16,236.0,,,,False,3.0,r,5.333333333333333,us-east-1,Windows,x1e.xlarge,1.018,5814.0,10968.0,,35.635999999999996
10,10295,clh004idmt01,Test,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,241.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,36.391
11,10295,clh004idmt02,Test,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,205.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,30.955
12,10295,clh004idmt03,Test,Microsoft Windows Server 2008 R2 (64-bit),4,1,16,16,253.0,,,,False,5.0,c,3.2,us-east-1,Windows,c5.2xlarge,0.708,4975.0,12930.0,,38.202999999999996
13,10295,clh004idmt04,Test,Microsoft Windows Server 2008 R2 (64-bit),4,1,16,16,253.0,,,,False,5.0,c,3.2,us-east-1,Windows,c5.2xlarge,0.708,4975.0,12930.0,,38.202999999999996
14,3,CLMWD021,Development,Microsoft Windows Server 2003 (32-bit),1,1,4,4,223.04,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,33.67904
15,255,CLMWD021,Development,Microsoft Windows Server 2003 (32-bit),1,1,4,4,223.04,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,33.67904
16,496,CLMWD021,Development,Microsoft Windows Server 2003 (32-bit),1,1,4,4,223.04,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,33.67904
